id,name,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,city
2265,Zen-East in the Heart of Austin (monthly rental),2466,30.27752,-97.71377,Entire home/apt,179,7,26,0.36,3,Austin
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,30.27614,-97.7132,Private room,114,30,9,0.21,3,Austin
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,30.26057,-97.73441,Entire home/apt,108,2,575,24.16,1,Austin
5769,NW Austin Room,8186,30.45697,-97.78422,Private room,39,1,264,5.95,1,Austin
6413,Gem of a Studio near Downtown,13879,30.24885,-97.73587,Entire home/apt,109,3,117,1.27,1,Austin
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,30.26034,-97.76487,Entire home/apt,146,3,254,2.06,1,Austin
8502,Woodland Studio Lodging,25298,30.23466,-97.73682,Entire home/apt,44,3,46,1.08,1,Austin
13035,Historic house in highly walkable East Austin,50793,30.26098,-97.73072,Entire home/apt,150,30,12,0.11,2,Austin
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,30.24417,-97.73988,Entire home/apt,232,1,126,2.06,12,Austin
22166,Close in Hill country views NW,84906,30.38794,-97.76358,Entire home/apt,153,30,11,0.08,1,Austin
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,30.35123,-97.76207,Entire home/apt,350,2,32,0.29,1,Austin
47572,Cozy Home in  N. Austin for Longer Stays,215917,30.37783,-97.70749,Private room,35,30,5,0.16,1,Austin
50318,Scooby Doo House,12409,30.28588,-97.75145,Entire home/apt,117,30,30,0.47,2,Austin
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,30.25756,-97.76995,Entire home/apt,102,1,810,20.45,2,Austin
69303,Colorful and Quirky Zilker Park Townhouse,272156,30.26146,-97.77276,Entire home/apt,149,2,146,125.14,2,Austin
69352,Enchanting Zilker Cottage~Downtown,347068,30.25811,-97.76368,Entire home/apt,299,2,390,3.05,2,Austin
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,30.2309,-97.76619,Entire home/apt,129,2,441,8.73,1,Austin
70258,South 1st Garage Apartment - Ideally Central,355348,30.23644,-97.76611,Entire home/apt,346,2,35,0.71,1,Austin
70812,1 Bedroom Apt; Above the Studio,268988,30.24648,-97.74913,Entire home/apt,150,2,156,2.3,1,Austin
72833,"Private, Detached, Central Austin Cottage",378744,30.313,-97.75066,Entire home/apt,101,1,371,8.26,1,Austin
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,30.41419,-97.73183,Entire home/apt,280,2,37,0.77,1,Austin
73289,Simple 2/2 in Central Austin,382510,30.29016,-97.74478,Entire home/apt,97,30,53,0.48,2,Austin
74318,Private Guest House 78704,387918,30.24473,-97.77923,Entire home/apt,197,2,232,2.5,2,Austin
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,30.29033,-97.76886,Entire home/apt,121,2,359,6.05,1,Austin
76497,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,177441,30.27678,-97.75805,Entire home/apt,243,2,233,1.92,2,Austin
76501,Upstairs Flat in Central Austin,408534,30.29192,-97.71939,Entire home/apt,103,2,195,2.34,1,Austin
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,30.26945,-97.72491,Entire home/apt,636,2,156,2.91,1,Austin
76925,Comfy Digs in East Austin,411190,30.25505,-97.72552,Entire home/apt,400,2,16,0.14,1,Austin
76996,The Travis Heights Tree House,1665428,30.23872,-97.74521,Entire home/apt,80,20,44,0.35,1,Austin
77347,Room or rooms,382265,30.33877,-97.882,Private room,104,2,0,,1,Austin
77639,Sweet South Austin Spot,416628,30.25023,-97.77985,Entire home/apt,179,2,36,0.42,1,Austin
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,30.25659,-97.76772,Entire home/apt,750,4,90,2.39,1,Austin
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,30.27672,-97.74799,Entire home/apt,240,1,6,0.05,3,Austin
78422,Living the Dream on Richardine (East Austin),421002,30.27443,-97.71135,Entire home/apt,75,7,4,1.13,1,Austin
78831,Cool Hyde Park efficiency apartment,423840,30.31106,-97.72373,Entire home/apt,106,2,355,2.75,1,Austin
78884,Beautiful Zilker Park Condo next to Downtown!,2157243,30.26126,-97.77358,Entire home/apt,134,2,156,1.31,9,Austin
79100,Bungalow-Pool-Central East-51st Area,425706,30.30933,-97.6952,Entire home/apt,138,30,28,0.27,4,Austin
79603,Beautiful Bouldin Cottage - 78704,428883,30.24948,-97.75896,Entire home/apt,182,2,111,0.87,1,Austin
79768,East-Side Bungalow,430091,30.26035,-97.73253,Entire home/apt,225,4,34,0.4,2,Austin
80725,Central Austin Home,436771,30.28251,-97.76874,Entire home/apt,150,30,0,,1,Austin
82033,"Clean and quiet 3/2, in Mueller area.",445746,30.30393,-97.68872,Entire home/apt,400,2,4,0.87,1,Austin
83643,Fun Central Austin Convenience,456230,30.32395,-97.71851,Private room,57,2,208,3.9,1,Austin
84771,Campus Retreat,321037,30.29386,-97.74188,Entire home/apt,81,2,16,0.35,2,Austin
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,30.35681,-97.72618,Entire home/apt,329,30,116,2.7,14,Austin
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,30.24498,-97.74935,Entire home/apt,161,1,98,1.44,1,Austin
104099,Zilker Guesthouse,213651,30.25433,-97.77582,Entire home/apt,99,2,178,2.83,2,Austin
113779,Spacious 1BR w/ Office in Hyde Park,578211,30.3027,-97.72945,Entire home/apt,128,20,90,0.77,9,Austin
113791,Avenue G Guesthouse in Hyde Park,578249,30.30244,-97.73148,Private room,60,30,12,0.22,2,Austin
116014,SXSW LAST MINUTE Downtown Space,419707,30.27521,-97.74793,Entire home/apt,259,1,2,0.02,3,Austin
128326,Austin City Limits-Private Pool by Nature Preserve,634580,30.24395,-98.00244,Entire home/apt,295,3,64,1.06,1,Austin
140474,Historic Hyde Park Home By Downtown,578211,30.30215,-97.73046,Entire home/apt,157,20,79,0.82,9,Austin
140504,1915 Home w/1BR With Modern Flare,578211,30.30397,-97.73037,Entire home/apt,126,20,80,0.67,9,Austin
145210,Maiden Lane Guesthouse,475506,30.30203,-97.74235,Entire home/apt,150,30,201,1.92,1,Austin
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,30.25288,-97.78491,Entire home/apt,742,4,16,0.29,1,Austin
166561,SOCO ItZ bitZ Bungalow,347068,30.2415,-97.76194,Entire home/apt,299,30,363,3.0,2,Austin
167459,SXSW and ACL 4 bedroom in Austin!,628942,30.27767,-97.79126,Entire home/apt,800,3,7,0.07,1,Austin
174828,Light and Airy Central Austin Retreat with Gorgeous Patio,835236,30.33238,-97.71233,Entire home/apt,404,2,333,5.82,1,Austin
184853,78704  Austin Getaway Two Bedroom monthly rental.,518748,30.24106,-97.77315,Entire home/apt,139,30,2,0.07,1,Austin
195674,"Large Zilker Home, Downtown- SOCO-ACL!",951551,30.25775,-97.76703,Entire home/apt,750,2,35,0.95,1,Austin
202187,South Congress Studio Apartment,989596,30.24867,-97.74678,Entire home/apt,87,1,817,14.98,2,Austin
202753,Parkside Loft - Entire bottom floor or the house.,729047,30.27655,-97.75608,Private room,175,3,12,0.33,1,Austin
207054,Keep Austin Lovely in 2BR/1Ba Mid-Century Home!,1018853,30.24434,-97.73069,Entire home/apt,165,3,161,1.35,1,Austin
208897,"Heart of east Austin–unique, bright, private haven",1029071,30.263203,-97.699829,Entire home/apt,192,3,97,1.05,1,Austin
214795,Cute Condo Close to Zilker & Dwntwn,1109019,30.25175,-97.77242,Entire home/apt,75,2,84,0.72,1,Austin
218402,New to Austin?  Perfect WFH Suite!,1129520,30.36145,-97.64397,Private room,28,30,24,0.22,1,Austin
219168,SOCO Living,1134580,30.24519,-97.74486,Entire home/apt,250,2,8,0.07,1,Austin
222967,Luxe Spa Bungalow - Walk Downtown!,1157982,30.25901,-97.7295,Entire home/apt,185,6,32,0.3,4,Austin
222986,Circa 1899 Luxe Spa House - Walk DT,1157982,30.25753,-97.7313,Entire home/apt,500,20,53,0.46,4,Austin
224603,Modern Studio Loft,1169129,30.30732,-97.72782,Entire home/apt,105,28,110,1.62,1,Austin
227372,The Iconic Allen's Boots Clubhouse!,51183342,30.24822,-97.75095,Entire home/apt,598,1,220,2.97,5,Austin
233930,The Treehouse 1930's Hyde Park Home,578211,30.30289,-97.72961,Entire home/apt,165,20,85,1.52,9,Austin
238657,Hill House in Wonderful Bouldin!,1250939,30.252,-97.75628,Entire home/apt,164,2,126,1.79,4,Austin
247770,Lovely House In Hip East Austin,1298575,30.30339,-97.68465,Entire home/apt,175,2,1,0.01,1,Austin
248515,Cute Eastside Bungalow -  Perfect Austin Base,1208485,30.25572,-97.72874,Entire home/apt,250,2,119,1.02,2,Austin
